Model,F1,Recall,Precision,Accuracy
Random Forest Validated,0.5720164609053497,0.4542483660130719,0.7722222222222223,0.8613333333333333
Random Forest CV,0.579048008085795,0.47120968606021646,0.7548386780429247,0.8609333333333333
Tuned Decision Tree,0.5606550690451619,0.4692553305475195,0.7016083898068596,0.8503999999999999
